rowID,stamp,datetime,hum
392999,1497825595, 2017/6/18 22:39:55,64.1
393999,1497825596, 2017/6/18 22:39:56,64.1
394999,1497825597, 2017/6/18 22:39:57,64.0
395999,1497825598, 2017/6/18 22:39:58,64.0
396999,1497825599, 2017/6/18 22:39:59,64.0
397999,1497825600, 2017/6/18 22:40:0,64.0
398999,1497825601, 2017/6/18 22:40:1,64.0
399999,1497825602, 2017/6/18 22:40:2,64.0
400999,1497825603, 2017/6/18 22:40:3,64.0
401999,1497825605, 2017/6/18 22:40:5,64.0
402999,1497825605, 2017/6/18 22:40:5,63.8
403999,1497825607, 2017/6/18 22:40:7,63.8
404999,1497825608, 2017/6/18 22:40:8,63.7
405999,1497825609, 2017/6/18 22:40:9,63.7
406999,1497825610, 2017/6/18 22:40:10,63.7
407999,1497825611, 2017/6/18 22:40:11,63.7
408999,1497825612, 2017/6/18 22:40:12,63.7
409999,1497825613, 2017/6/18 22:40:13,63.7
410999,1497825614, 2017/6/18 22:40:14,63.7
411999,1497825615, 2017/6/18 22:40:15,63.7
412999,1497825616, 2017/6/18 22:40:16,63.7
413999,1497825617, 2017/6/18 22:40:17,63.8
414999,1497825618, 2017/6/18 22:40:18,63.8
415999,1497825619, 2017/6/18 22:40:19,63.6
416999,1497825620, 2017/6/18 22:40:20,63.6
417999,1497825621, 2017/6/18 22:40:21,63.6
418999,1497825622, 2017/6/18 22:40:22,63.7
419999,1497825623, 2017/6/18 22:40:23,63.7
420999,1497825624, 2017/6/18 22:40:24,63.5
421999,1497825625, 2017/6/18 22:40:25,63.5
422999,1497825626, 2017/6/18 22:40:26,63.5
423999,1497825627, 2017/6/18 22:40:27,63.5
424999,1497825628, 2017/6/18 22:40:28,63.5
425999,1497825629, 2017/6/18 22:40:29,63.5
426999,1497825630, 2017/6/18 22:40:30,63.5
427999,1497825631, 2017/6/18 22:40:31,63.5
428999,1497825632, 2017/6/18 22:40:32,63.5
429999,1497825633, 2017/6/18 22:40:33,63.5
430999,1497825634, 2017/6/18 22:40:34,63.6
431999,1497825635, 2017/6/18 22:40:35,63.6
432999,1497825636, 2017/6/18 22:40:36,63.6
433999,1497825637, 2017/6/18 22:40:37,63.6
434999,1497825638, 2017/6/18 22:40:38,63.7
435999,1497825639, 2017/6/18 22:40:39,63.7
436999,1497825640, 2017/6/18 22:40:40,63.7
437999,1497825641, 2017/6/18 22:40:41,63.6
438999,1497825642, 2017/6/18 22:40:42,63.6
439999,1497825643, 2017/6/18 22:40:43,63.6
440999,1497825644, 2017/6/18 22:40:44,63.6
441999,1497825645, 2017/6/18 22:40:45,63.7
442999,1497825646, 2017/6/18 22:40:46,63.7
443999,1497825647, 2017/6/18 22:40:47,63.7
444999,1497825648, 2017/6/18 22:40:48,63.7
445999,1497825649, 2017/6/18 22:40:49,63.7
446999,1497825650, 2017/6/18 22:40:50,63.7
447999,1497825651, 2017/6/18 22:40:51,63.7
448999,1497825652, 2017/6/18 22:40:52,63.7
449999,1497825653, 2017/6/18 22:40:53,63.7
450999,1497825654, 2017/6/18 22:40:54,63.7
451999,1497825655, 2017/6/18 22:40:55,63.7
452999,1497825656, 2017/6/18 22:40:56,63.7
453999,1497825657, 2017/6/18 22:40:57,63.9
454999,1497825658, 2017/6/18 22:40:58,63.9
455999,1497825659, 2017/6/18 22:40:59,63.8
456999,1497825660, 2017/6/18 22:41:0,63.8
457999,1497825661, 2017/6/18 22:41:1,63.8
458999,1497825662, 2017/6/18 22:41:2,63.8
459999,1497825663, 2017/6/18 22:41:3,63.8
460999,1497825664, 2017/6/18 22:41:4,63.9
461999,1497825665, 2017/6/18 22:41:5,63.9
462999,1497825666, 2017/6/18 22:41:6,63.8
463999,1497825667, 2017/6/18 22:41:7,63.8
464999,1497825668, 2017/6/18 22:41:8,63.8
465999,1497825669, 2017/6/18 22:41:9,63.9
466999,1497825670, 2017/6/18 22:41:10,63.9
467999,1497825671, 2017/6/18 22:41:11,64.0
468999,1497825672, 2017/6/18 22:41:12,64.0
469999,1497825673, 2017/6/18 22:41:13,63.9
470999,1497825674, 2017/6/18 22:41:14,63.9
471999,1497825675, 2017/6/18 22:41:15,63.9
472999,1497825676, 2017/6/18 22:41:16,63.9
473999,1497825677, 2017/6/18 22:41:17,63.9
474999,1497825678, 2017/6/18 22:41:18,63.9
475999,1497825679, 2017/6/18 22:41:19,63.9
476999,1497825680, 2017/6/18 22:41:20,63.9
477999,1497825681, 2017/6/18 22:41:21,63.9
478999,1497825682, 2017/6/18 22:41:22,63.9
479999,1497825683, 2017/6/18 22:41:23,63.9
480999,1497825684, 2017/6/18 22:41:24,63.9
481999,1497825685, 2017/6/18 22:41:25,63.9
482999,1497825686, 2017/6/18 22:41:26,63.9
483999,1497825687, 2017/6/18 22:41:27,63.9
484999,1497825688, 2017/6/18 22:41:28,63.9
485999,1497825689, 2017/6/18 22:41:29,63.9
486999,1497825690, 2017/6/18 22:41:30,63.9
487999,1497825691, 2017/6/18 22:41:31,63.9
488999,1497825692, 2017/6/18 22:41:32,63.9
489999,1497825693, 2017/6/18 22:41:33,63.9
490999,1497825694, 2017/6/18 22:41:34,64.0
491999,1497825695, 2017/6/18 22:41:35,64.0
492999,1497825696, 2017/6/18 22:41:36,64.0
493999,1497825697, 2017/6/18 22:41:37,64.0
494999,1497825698, 2017/6/18 22:41:38,64.0
495999,1497825699, 2017/6/18 22:41:39,64.0
496999,1497825700, 2017/6/18 22:41:40,64.0
497999,1497825701, 2017/6/18 22:41:41,64.0
498999,1497825702, 2017/6/18 22:41:42,64.0
499999,1497825703, 2017/6/18 22:41:43,64.0
500999,1497825704, 2017/6/18 22:41:44,64.0
501999,1497825705, 2017/6/18 22:41:45,64.0
502999,1497825706, 2017/6/18 22:41:46,64.0
503999,1497825707, 2017/6/18 22:41:47,64.0
504999,1497825708, 2017/6/18 22:41:48,64.1
505999,1497825709, 2017/6/18 22:41:49,64.1
506999,1497825710, 2017/6/18 22:41:50,64.1
507999,1497825711, 2017/6/18 22:41:51,64.1
508999,1497825712, 2017/6/18 22:41:52,64.1
509999,1497825713, 2017/6/18 22:41:53,64.1
510999,1497825714, 2017/6/18 22:41:54,64.1
511999,1497825715, 2017/6/18 22:41:55,64.1
512999,1497825716, 2017/6/18 22:41:56,64.1
513999,1497825717, 2017/6/18 22:41:57,64.1
514999,1497825718, 2017/6/18 22:41:58,64.1
515999,1497825719, 2017/6/18 22:41:59,64.1
516999,1497825720, 2017/6/18 22:42:0,64.1
517999,1497825721, 2017/6/18 22:42:1,64.1
518999,1497825722, 2017/6/18 22:42:2,64.1
519999,1497825723, 2017/6/18 22:42:3,64.2
520999,1497825724, 2017/6/18 22:42:4,64.2
521999,1497825725, 2017/6/18 22:42:5,64.2
522999,1497825726, 2017/6/18 22:42:6,64.2
523999,1497825727, 2017/6/18 22:42:7,64.2
524999,1497825728, 2017/6/18 22:42:8,64.2
525999,1497825729, 2017/6/18 22:42:9,64.2
526999,1497825730, 2017/6/18 22:42:10,64.2
527999,1497825731, 2017/6/18 22:42:11,64.2
528999,1497825732, 2017/6/18 22:42:12,64.2
529999,1497825733, 2017/6/18 22:42:13,64.2
530999,1497825734, 2017/6/18 22:42:14,64.2
531999,1497825735, 2017/6/18 22:42:15,64.2
532999,1497825736, 2017/6/18 22:42:16,64.2
533999,1497825737, 2017/6/18 22:42:17,64.2
534999,1497825738, 2017/6/18 22:42:18,64.2
